LATITUDE,LONGITUDE,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,PHOTO_URL
39.6673,46.9663,355.02,-2.27,-4.11,2021-08-16,1056,N20,VIIRS,n,2.0NRT,298.87,25.1,D,,/PhotoFile4Wildfire/39.6673_46.96631_n.png
39.6603,46.9843,367.0,-2.27,-4.11,2021-08-16,1056,N20,VIIRS,h,2.0NRT,294.75,27.07,D,,/PhotoFile4Wildfire/39.66029_46.98427_h.png
39.7679,46.5728,339.03,0.42,0.37,2021-08-19,1000,N20,VIIRS,l,2.0NRT,312.68,3.77,D,,/PhotoFile4Wildfire/39.7679_46.57275_l.png
40.2466,46.6523,334.75,0.42,0.38,2021-08-19,1000,N20,VIIRS,n,2.0NRT,306.23,3.85,D,,/PhotoFile4Wildfire/40.2466_46.65226_n.png
40.2669,46.6676,333.22,0.39,0.44,2021-08-21,922,N20,VIIRS,n,2.0NRT,299.22,6.17,D,,/PhotoFile4Wildfire/40.26693_46.66759_n.png
41.0593,47.6975,331.45,0.51,0.66,2021-08-26,2146,N20,VIIRS,n,2.0NRT,283.83,4.03,N,,/PhotoFile4Wildfire/41.0593_47.69754_n.png
39.1153,48.8682,341.81,0.49,0.41,2021-09-22,922,N20,VIIRS,n,2.0NRT,309.71,13.59,D,,/PhotoFile4Wildfire/39.11527_48.8682_n.png
39.6814,49.144,335.9,1.0,1.0,2020-05-20,736,Terra,MODIS,73,6.03,309.8,23.9,D,0.0,/PhotoFile4Wildfire/39.6814_49.144_73.png
39.6899,44.7295,368.6,3.4,1.7,2020-07-30,923,Aqua,MODIS,100,6.03,301.2,569.0,D,0.0,/PhotoFile4Wildfire/39.6899_44.7295_100.png
39.2115,48.6727,343.6,1.0,1.0,2020-08-08,737,Terra,MODIS,84,6.03,311.4,32.6,D,0.0,/PhotoFile4Wildfire/39.2115_48.6727_84.png
38.943,46.5297,333.0,1.3,1.1,2020-10-30,807,Terra,MODIS,86,6.03,301.0,40.0,D,0.0,/PhotoFile4Wildfire/38.943_46.5297_86.png
